 6290 5,043 278
 6675 8,185 245
 4510 5,695 243
 5324 6,246 234
 5543 4,921 195
 58258 0 116
 51339 0,72 131
 59681 0,416 99
 41274 0,722 81
 54485 2,4 111
 183012 0,75 122
 234608 0,183 130
 180375 0,858 139
 158816 0,851 102
 173604 0,352 111
 410628 0,717 112
 337007 1,263 96
 546350 0,278 112
 479389 0,357 96
 409924 0,943 131
 899456 0,059 187
 557196 0,058 205
 539896 0,033 149
 744792 0,068 96
 585352 0,008 86
 8 0 14
 980 36,49 41
 27 0 16
 480 0 36
 50 0 16
 24419 0,897 73
 26023 2,175 83
 33321 1,083 112
 23582 6,153 131
 20977 9,747 60
 110038 1,611 96
 183340 0,819 117
 92890 2,709 91
 155707 2,641 106
 135306 4,3 119
 464751 0,525 124
 429043 0,744 148
 322522 0,619 132
 362268 0,576 136
 310772 1,546 101
 830838 0,122 116
 623495 0,022 109
 749286 0,04 79
 657544 0,13 114
 599675 0,068 110
 0 0 15
 0 0 14
 0 0 17
 0 0 17
 0 0 16
 9046 0 76
 11539 0 69
 18037 10,568 103
 8004 0,49 69
 19994 0,412 77
 90314 4,057 146
 91826 5,466 163
 98117 1,609 142
 101924 1,127 111
 56916 0,718 124
 245394 0,624 147
 408959 1,979 134
 400755 0,418 113
 311774 0,822 131
 226857 1,874 141
 641969 0,18 96
 611999 0,104 96
 623498 0,011 119
 585356 0,125 117
 576265 0,172 93
 0 0 16
 0 0 15
 0 0 15
 0 0 17
 0 0 15
 1676 19,714 53
 317 0 43
 1207 5,323 63
 136 0 14
 284 0 15
 70700 5,759 147
 84700 0,559 157
 58044 4,501 102
 56084 2,695 155
 77302 2,986 115
 251775 1,237 126
 312989 0,632 111
 328386 0,652 118
 281434 2,716 119
 321110 1,338 135
 497241 0,348 94
 637030 0,02 104
 680461 0,056 124
 623450 0,158 87
 450356 0,18 113
 0 0 16
 0 0 18
 0 0 16
 0 0 17
 0 0 16
 0 0 16
 1198 0,419 31
 0 0 16
 232 0 16
 0 0 17
 163385 2,678 156
 179032 2,675 131
 92632 1,605 114
 174656 3,798 103
 70990 1,14 123
 375500 1,318 110
 325443 0,31 124
 249941 1,504 145
 296695 1,064 176
 269369 0,768 125
 472303 0,231 150
 572013 0,272 124
 398294 0,319 107
 433135 0,469 107
 563648 0,516 95
