 547,083 6
 493,572 4
 693,314 3
 565,596 3
 596,525 3
 153,011 11
 183,262 13
 128,241 13
 217,235 12
 140,063 12
 72,656 27
 65,2 28
 94,403 28
 78,848 28
 73,828 27
 43,325 49
 46,793 53
 24,835 51
 33,855 49
 37,971 51
 4,704 78
 4,966 78
 6,307 76
 4,25 78
 9,563 76
 394063,333 4
 5515,232 4
 109379,63 4
 8858,41 5
 104116,8 5
 344,131 13
 548,074 12
 358,243 13
 559,053 13
 542,553 11
 164,64 26
 121,477 27
 219,185 26
 127,152 25
 172,036 24
 48,253 50
 48,566 45
 66,59 46
 47,876 49
 62,138 50
 8,319 72
 4,571 78
 11,554 69
 15,964 68
 15,084 67
 ∞ 5
 ∞ 6
 ∞ 6
 ∞ 8
 ∞ 5
 1746,353 13
 1168,85 11
 1080,275 12
 1701,841 13
 845,913 12
 294,875 26
 315,328 22
 277,985 31
 236,145 26
 331,451 21
 86,401 43
 58,614 41
 55,942 47
 78,921 42
 104,76 42
 21,739 61
 21,229 62
 15,731 68
 18,955 68
 21,977 65
 ∞ 11
 ∞ 8
 ∞ 9
 ∞ 10
 ∞ 8
 14447,271 17
 71920,021 15
 15590,268 14
 111416,422 13
 61754,941 16
 453,281 26
 399,771 25
 496,541 28
 499,839 26
 422,941 23
 119,818 42
 77,675 40
 75,59 39
 89,578 47
 96,649 35
 36,369 58
 31,034 53
 27,442 56
 23,062 62
 41,928 53
 ∞ 11
 ∞ 10
 ∞ 10
 ∞ 10
 ∞ 10
 ∞ 19
 18389,086 21
 ∞ 18
 81474,526 20
 ∞ 21
 182,394 25
 160,917 31
 346,632 24
 186,712 30
 442,659 25
 62,562 44
 82,852 43
 106,306 37
 98,798 37
 98,725 34
 51,843 49
 33,935 54
 55,208 47
 54,437 48
 36,433 50
