 622,732 2
 508,514 1
 701,419 1
 548,749 0
 559,919 1
 159,691 2
 172,061 2
 128,001 2
 242,405 2
 143,741 2
 71,358 4
 61,611 4
 91,196 4
 76,801 4
 71,878 4
 39,318 6
 41,521 6
 23,928 6
 35,963 6
 34,965 6
 3,418 9
 4,606 8
 6,306 9
 3,548 9
 8,757 8
 365157,083 1
 5571,653 1
 109632,716 1
 9293,472 1
 87441,8 1
 376,53 2
 549,38 2
 355,157 2
 560,901 2
 543,306 2
 147,323 3
 119,058 4
 218,016 3
 123,038 3
 164,023 3
 47,988 6
 45,497 5
 56,494 6
 45,514 6
 60,86 6
 6,276 8
 4,431 9
 11,097 8
 16,559 7
 10,972 8
 ∞ 1
 ∞ 1
 ∞ 1
 ∞ 1
 ∞ 1
 1631,241 2
 1210,388 2
 1080,924 2
 1618,413 2
 822,442 2
 294,488 4
 296,285 3
 255,697 4
 226,584 4
 343,794 3
 86,228 5
 60,294 5
 56,142 5
 75,437 5
 101,969 5
 17,965 7
 19,866 7
 12,877 8
 16,123 7
 21,638 7
 ∞ 2
 ∞ 1
 ∞ 1
 ∞ 1
 ∞ 1
 14698,448 2
 71789,863 2
 14999,092 2
 108363,358 2
 58267,019 2
 437,978 3
 384,075 3
 468,17 4
 508,438 3
 412,84 3
 112,424 5
 78,766 5
 68,753 5
 93,067 5
 91,989 4
 28,86 7
 27,637 6
 25,578 6
 21,74 7
 40,501 6
 ∞ 2
 ∞ 1
 ∞ 2
 ∞ 2
 ∞ 2
 ∞ 3
 18490,33 3
 ∞ 3
 83463,851 3
 ∞ 3
 172,587 3
 165,335 4
 327,831 3
 182,343 4
 429,959 3
 57,951 5
 79,137 5
 103,672 5
 90,821 5
 106,649 4
 48,183 6
 33,071 6
 49,746 5
 51,629 6
 32,239 6
