 3,408 15
 6,784 12
 5,71 12
 3,563 11
 7,845 12
 0,65 17
 0,375 16
 0,815 17
 0,81 17
 1,052 17
 0,819 19
 0,805 19
 1,02 18
 0,614 18
 0,953 17
 0,444 19
 0,672 19
 0,504 19
 0,278 19
 0,639 19
 0,029 18
 0,048 18
 0,036 18
 0,018 19
 0,01 18
 0 7
 17,79 11
 0 8
 60,236 12
 0 9
 4,332 15
 3,283 17
 3,726 18
 4,616 17
 4,266 17
 1,403 19
 1,027 18
 1,422 19
 2,269 17
 1,44 19
 0,41 19
 0,358 19
 0,432 19
 0,758 19
 0,598 18
 0,066 18
 0,042 18
 0,06 18
 0,048 17
 0,082 18
 0 5
 0 4
 0 4
 0 5
 0 4
 10,952 14
 6,096 14
 16,475 18
 5,331 12
 3,266 16
 3,85 20
 1,673 22
 3,03 19
 2,846 18
 4,271 19
 0,588 19
 0,732 19
 0,518 20
 0,766 20
 1,039 19
 0,108 17
 0,148 18
 0,032 17
 0,08 19
 0,071 18
 0 5
 0 4
 0 5
 0 5
 0 5
 43,952 16
 29,527 17
 143,479 13
 27,77 10
 54,472 14
 5,802 21
 1,6 20
 2,612 21
 3,089 18
 2,886 20
 0,496 19
 0,889 19
 0,533 20
 0,714 20
 1,016 19
 0,14 19
 0,073 18
 0,076 18
 0,112 17
 0,189 18
 0 4
 0 4
 0 4
 0 5
 0 5
 0 7
 16,222 16
 0 11
 31,853 16
 0 14
 1,837 21
 1,315 21
 2,196 19
 1,452 20
 2,175 21
 0,426 18
 0,812 19
 0,917 21
 0,682 21
 0,59 19
 0,335 19
 0,142 18
 0,274 19
 0,307 19
 0,44 18
