 2,071 9
 1,6 7
 1,24 8
 0,861 7
 4,237 7
 0,385 12
 0,47 13
 0,493 12
 0,202 12
 0,332 13
 0,659 14
 0,21 14
 0,433 14
 0,22 14
 0,436 13
 0,134 15
 0,248 15
 0,105 15
 0,14 14
 0,229 15
 0,005 14
 0,02 14
 0,024 14
 0,005 14
 0,009 14
 0 1
 14,383 3
 0 1
 28,722 2
 0 1
 1,088 11
 2,642 11
 1,467 12
 2,448 12
 2,336 11
 0,515 14
 0,443 14
 0,885 14
 1,65 13
 0,448 14
 0,124 14
 0,147 14
 0,296 15
 0,549 15
 0,366 14
 0,008 14
 0,014 13
 0,026 14
 0,011 14
 0,024 13
 0 1
 0 1
 0 1
 0 1
 0 1
 8,085 8
 2,891 7
 5,66 11
 1,303 8
 1,861 10
 1,455 13
 1,223 14
 1,444 15
 0,856 13
 2,312 13
 0,446 14
 0,367 15
 0,225 15
 0,518 15
 0,329 13
 0,028 15
 0,027 14
 0,007 15
 0,023 13
 0,025 16
 0 1
 0 1
 0 1
 0 1
 0 1
 15,505 3
 14,101 4
 42,536 5
 0 1
 0 1
 3,568 12
 1,375 14
 2,469 14
 2,464 14
 2,048 12
 0,401 15
 0,332 14
 0,204 15
 0,473 15
 0,485 14
 0,082 15
 0,03 15
 0,034 14
 0,016 14
 0,069 14
 0 1
 0 1
 0 1
 0 1
 0 1
 0 1
 9,737 5
 0 1
 0 1
 0 1
 1,879 14
 0,734 14
 2,518 15
 0,73 13
 1,503 13
 0,136 15
 0,303 14
 0,454 15
 0,511 15
 0,34 16
 0,071 13
 0,028 15
 0,097 15
 0,112 16
 0,081 13
