 4,687 51
 14,895 41
 8,547 45
 4,293 46
 14,002 48
 1,153 94
 0,752 89
 0,729 94
 2,335 96
 1,302 94
 1,019 148
 0,932 160
 1,143 159
 0,955 152
 1,051 138
 0,752 226
 0,763 229
 0,686 219
 0,435 218
 1,105 230
 0,041 246
 0,05 247
 0,07 248
 0,024 247
 0,009 256
 0 51
 28,918 56
 0 48
 30,701 58
 0 52
 4,254 94
 5,941 119
 4,804 126
 6,709 126
 7,208 99
 1,822 177
 0,734 194
 1,875 171
 2,489 166
 1,933 188
 0,416 254
 0,496 245
 0,582 243
 0,963 250
 0,674 249
 0,101 248
 0,054 248
 0,073 250
 0,066 243
 0,087 254
 0 55
 0 50
 0 52
 0 56
 0 53
 12,407 121
 7,062 120
 17,326 152
 8,785 108
 4,076 131
 3,819 227
 1,523 230
 3,107 236
 2,609 175
 5,36 175
 0,719 255
 1,333 242
 0,885 251
 0,939 250
 1,133 248
 0,144 247
 0,157 248
 0,039 242
 0,107 252
 0,084 252
 0 69
 0 50
 0 73
 0 69
 0 66
 40,576 182
 29,527 182
 222,909 158
 138,064 114
 34,824 169
 6,477 241
 1,396 262
 3,341 251
 3,69 205
 2,219 253
 0,547 252
 1,101 239
 0,518 257
 0,816 253
 1,411 245
 0,19 245
 0,064 251
 0,086 250
 0,174 229
 0,187 253
 0 64
 0 63
 0 64
 0 73
 0 59
 0 123
 6,885 203
 0 166
 0 199
 0 182
 2,339 251
 1,925 269
 2,178 261
 2,07 267
 3,026 258
 0,653 256
 1,401 251
 1,316 254
 0,998 259
 0,904 253
 0,501 247
 0,158 255
 0,493 248
 0,413 251
 0,742 245
