 5988 0 525
 6170 0 216
 4267 0 172
 5011 0 200
 5283 0 218
 58412 0,26 373
 51293 0,63 421
 60197 1,28 426
 41065 0,21 823
 54320 2,09 2006
 183394 0,96 775
 235520 0,57 1174
 180720 1,05 1541
 158869 0,88 787
 174142 0,66 670
 411808 1,01 876
 338666 1,76 1011
 547857 0,55 987
 479640 0,41 1592
 407852 0,43 1251
 898925 0 1080
 557079 0,04 1173
 540203 0,09 1346
 744312 0 1089
 585406 0,02 1234
 8 0 16
 823 14,62 47
 27 0 16
 482 0,42 63
 50 0 16
 25048 3,5 258
 25469 0 320
 34128 3,53 366
 23156 4,24 348
 19539 2,22 239
 108981 0,64 560
 182802 0,52 627
 90977 0,59 660
 157598 3,89 616
 139824 7,78 483
 464892 0,56 1128
 429629 0,88 1005
 322749 0,69 999
 363197 0,83 859
 307828 0,58 916
 830624 0,1 1226
 624227 0,14 1391
 749366 0,05 1206
 657094 0,06 1261
 600147 0,15 1175
 0 0 15
 0 0 15
 0 0 15
 0 0 15
 0 0 16
 9046 0 160
 11742 1,76 209
 17543 7,54 255
 7965 0 141
 20815 4,53 214
 88259 1,69 587
 93904 7,85 562
 99316 2,85 643
 105617 4,79 555
 65540 15,98 402
 248010 1,7 1210
 404522 0,87 830
 401999 0,73 1115
 316376 2,31 836
 227450 2,14 783
 642035 0,19 1201
 612745 0,23 1172
 623624 0,03 1317
 585683 0,18 1248
 575710 0,08 1170
 0 0 15
 0 0 17
 0 0 16
 0 0 16
 0 0 15
 1400 0 60
 317 0 45
 1207 5,32 59
 136 0 15
 284 0 16
 69992 4,7 541
 85206 1,16 662
 58155 4,7 553
 56231 2,96 544
 75514 0,6 557
 251446 1,1 1099
 314410 1,09 913
 328570 0,71 1047
 277453 1,26 953
 327468 3,34 922
 496624 0,22 1165
 637053 0,02 1190
 680817 0,11 1232
 622754 0,05 1049
 450740 0,27 1083
 0 0 17
 0 0 17
 0 0 17
 0 0 18
 0 0 16
 0 0 17
 1198 0,42 70
 0 0 17
 232 0 17
 0 0 17
 161576 1,54 940
 183882 5,46 637
 94936 4,13 776
 172470 2,5 832
 73038 4,06 676
 373940 0,9 1153
 329438 1,54 995
 250253 1,63 1101
 298209 1,58 1095
 271070 1,4 893
 473073 0,39 1054
 571318 0,15 1144
 399264 0,56 1154
 433431 0,54 1380
 563990 0,58 1127
