 0,49 7
 0,902 6
 1,111 4
 0,051 6
 0,896 5
 0,116 10
 0,221 13
 0,103 14
 0,178 11
 0,251 14
 0,114 21
 0,158 18
 0,125 22
 0,126 20
 0,115 17
 0,213 25
 0,195 22
 0,087 26
 0,179 22
 0,202 27
 0,005 12
 0,003 18
 0 15
 0,002 14
 0,001 17
 0 0
 8,658 3
 0 0
 17,826 1
 0 0
 0,284 8
 1,196 9
 0,432 19
 0,925 11
 1,206 9
 0,163 19
 0,206 22
 0,189 24
 0,797 18
 0,158 30
 0,085 22
 0,103 27
 0,049 33
 0,344 42
 0,119 31
 0,01 21
 0 14
 0,002 21
 0,006 18
 0,004 22
 0 0
 0 0
 0 0
 0 0
 0 0
 4,515 5
 2,368 6
 2,091 18
 0,435 5
 1,041 10
 0,643 38
 0,326 33
 0,541 27
 0,505 20
 0,584 19
 0,03 51
 0,131 35
 0,08 34
 0,132 41
 0,058 28
 0,016 24
 0,01 22
 0,003 22
 0,005 22
 0,003 27
 0 0
 0 0
 0 0
 0 0
 0 0
 1,314 5
 0 4
 23,29 4
 0 0
 0 0
 2,031 33
 0,567 39
 0,49 35
 1,424 27
 0,518 34
 0,174 33
 0,104 29
 0,144 37
 0,121 35
 0,068 44
 0,008 27
 0,005 29
 0,006 27
 0,009 21
 0,031 30
 0 0
 0 0
 0 0
 0 0
 0 0
 0 0
 1,241 3
 0 0
 0 0
 0 0
 0,514 46
 0,104 33
 0,484 48
 0,057 32
 0,258 41
 0,048 25
 0,142 26
 0,11 36
 0,102 38
 0,049 31
 0,026 25
 0,014 22
 0,058 31
 0,023 32
 0,086 24
