 1244,038 2
 1240,52 7
 1237,216 8
 1233,44 10
 1230,46 11
 1227,481 12
 1224,649 16
 1220,83 16
 1218,121 17
 1215,803 18
 1212,585 19
 1209,937 20
 1206,259 21
 1204,273 22
 1202,397 23
 1200,141 24
 1197,946 25
 1195,985 25
 1194,146 26
 1192,429 27
 1190,756 28
 1188,843 29
 1187,207 30
 1185,588 31
 1182,315 32
 1180,886 32
 1176,503 33
 1174,658 34
 1172,727 35
 1170,668 35
 1169,288 36
 1168,032 37
 1165,69 38
 1163,25 38
 1160,626 39
 1159,204 40
 1156,587 41
 1153,816 41
 1150,861 42
 1149,758 43
 1148,667 43
 1146,828 44
 1145,755 45
 1143,996 46
 1142,929 46
 1141,66 47
 1139,968 48
 1138,736 48
 1137,265 49
 1136,235 50
 1134,862 50
 1133,905 51
 1131,233 52
 1128,229 53
 1126,831 53
 1125,893 54
 1124,729 55
 1123,871 55
 1120,462 56
 1117,324 57
 1114,246 57
 1111,267 58
 1110,237 59
 1106,13 60
 1101,857 60
 1097,615 61
 1093,422 62
 1092,613 63
 1090,977 63
 1089,628 64
 1086,9 64
 1085,282 65
 1082,008 65
 1080,39 65
 1077,116 66
 1075,498 66
 1074,756 67
 1073,867 67
 1072,629 67
 1071,219 68
 1069,65 68
 1068,424 69
 1067,339 69
 1066,603 69
 1065,96 70
 1065,359 70
 1063,054 70
 1062,453 71
 1061,865 71
 1059,879 72
 1058,849 72
 1055,33 72
 1054,153 73
 1050,132 73
 1049,568 73
 1047,851 74
 1046,932 74
 1044,173 75
 1043,383 75
 1042,157 75
 1041,329 76
 1039,796 76
 1038,852 76
 1037,59 77
 1037,056 77
 1035,383 77
 1034,028 78
 1029,939 78
 1028,419 78
 1023,834 79
 1022,877 79
 1021,032 80
 1018,887 80
 1016,098 81
 1015,521 81
 1014,988 82
 1013,921 82
 1012,855 82
 1012,26 83
 1010,961 83
 1009,612 84
 1008,766 84
 1007,074 85
 1005,382 85
 1004,647 85
 1003,175 87
 1001,704 87
 1001,177 88
 1000,68 88
 999,356 89
 997,885 89
 997,407 90
 996,941 90
 996,242 91
 995,783 91
 993,355 92
 992,901 92
 991,173 92
 990,731 93
 987,899 93
 987,476 94
 984,902 94
 981,585 94
 979,985 95
 977,883 95
 975,345 96
 973,138 96
 970,692 96
 969,098 97
 968,032 97
 967,553 98
 966,634 98
 965,678 99
 964,482 99
 964,139 100
 962,815 100
 962,104 100
 959,627 101
 958,659 101
 958,279 102
 957,371 102
 956,758 102
 955,986 103
 955,655 103
 955,177 103
 954,883 104
 954,404 104
 954,11 104
 953,24 105
 952,958 105
 952,682 106
 950,31 106
 949,298 106
 948,857 107
 945,166 107
 943,548 107
 943,052 108
 938,908 108
 937,087 108
 936,756 109
 934,046 109
 932,833 109
 932,502 109
 929,872 110
 928,658 110
 928,327 110
 925,667 111
 924,453 111
 924,177 111
 922,847 111
 922,577 112
 922,313 112
 922,068 112
 921,823 113
 921,075 113
 920,376 113
 919,861 113
 919,616 114
 919,224 114
 918,783 114
 918,445 115
 915,699 115
 912,61 115
